x,y
78,-56
81,17
-73,98
-44,-32
44,-43
59,-77
-41,86
41,76
-2,20
41,-14
-19,36
-5,25
74,-86
-58,-33
-18,-66
-87,-13
5,-75
58,-83
-24,25
2,-89
-6,-78
93,-9
-59,-65
-44,82
-40,-95
-37,-53
-62,-89
13,-50
51,97
-72,38
-92,-56
18,49
-16,65
-76,-73
41,93
95,-94
18,53
-100,96
28,-40
-1,14
17,-29
-73,-90
47,77
9,6
-11,26
30,-36
-35,-23
-95,-2
98,9
-28,-99
24,4
-78,12
89,96
79,-56
51,-28
-91,-61
-33,85
21,-68
8,-62
35,-83
-40,89
3,25
-93,-26
-49,-93
-1,-96
62,-63
5,1
49,45
-43,-94
-53,-31
-95,66
59,2
30,-61
73,-59
-88,-18
20,65
-25,98
-9,-92
59,-53
17,-97
-20,-33
39,13
79,-41
83,52
66,86
-90,-12
-42,22
-21,72
98,-29
-57,34
47,-76
2,-15
-100,-42
87,18
88,58
-44,10
-37,28
45,89
-85,-90
78,-85
100,-14
-39,-23
-32,7
-28,-85
-3,-80
1,-65
-44,15
-86,98
-60,81
94,4
48,16
75,-97
-84,44
38,91
-23,70
56,-6
-32,-21
-98,9
-38,-48
87,-21
-99,-56
7,59
64,41
-3,-69
-28,65
-58,71
94,91
37,-83
3,-80
12,-66
57,-4
-60,-75
-92,47
-100,-23
-43,0
-81,-48
68,32
20,85
51,8
-45,-80
33,1
-16,-13
40,28
-51,50
-5,39
23,52
-54,78
-27,34
-16,47
98,84
-48,-72
16,44
64,-46
20,-5
56,-3
90,32
-66,-91
-11,-46
57,67
94,-59
-25,-62
-75,23
-7,-94
16,-60
-71,2
-32,-72
18,-68
34,5
3,48
-12,-83
-85,24
17,-90
7,6
42,-85
13,54
-63,-71
-24,-66
51,-47
-91,31
68,89
92,38
63,63
-27,-88
18,78
50,36
81,91
-65,46
-89,-17
-26,95
85,43
24,90
-43,-50
3,100
-68,-6
-74,77
65,-90
-56,2
-22,-33
38,88
10,-41
60,36
-65,-97
97,-29
-4,-17
-37,-6
-7,18
57,-78
20,20
72,72
-89,20
90,23
73,-69
34,4
10,95
31,-98
-12,92
-95,-23
87,-92
-28,24
24,68
88,-95
16,-24
36,-76
-48,25
28,29
83,6
22,-97
6,66
6,-23
-25,-88
-13,-27
-46,76
96,-13
-63,54
-36,0
-13,-78
-34,-62
36,-36
77,69
-68,-61
88,-24
2,85
-47,-10
-17,-69
57,0
35,60
-15,-89
87,-69
-36,40
23,-35
63,-39
-16,83
43,84
65,-87
14,-4
31,70
82,54
-62,-11
-18,83
-27,63
4,-77
-13,11
30,72
-60,-55
-4,-37
-62,48
-92,-31
-1,-5
-11,-71
90,89
29,-82
47,-44
-7,26
51,90
32,-52
45,-22
-78,-16
62,-75
-21,-7
69,80
-4,-13
-8,-100
70,18
39,20
23,93
-72,0
-27,47
44,-96
43,35
-28,27
70,-43
58,54
100,-84
-92,5
-45,78
31,-77
63,-14
12,41
63,-75
14,30
74,42
-34,-55
68,50
7,1
-48,74
47,-73
4,36
-2,-20
67,-43
-84,-23
-85,62
-21,33
-12,12
53,-48
-66,-27
-83,-18
-65,-40
9,61
-91,67
62,70
-94,-93
-93,63
-43,74
96,-40
-93,81
-1,-45
75,49
63,-91
81,45
48,18
-22,-69
-57,57
64,16
79,-47
95,88
62,79
81,-45
-38,-50
10,-14
46,-48
82,-13
46,-87
-57,-86
3,75
-71,-44
-98,98
-75,-24
82,-1
51,70
1,-28
84,-94
60,62
42,-30
-45,-6
-34,79
-14,-31
4,88
80,41
-56,-79
70,56
-53,21
-16,82
51,94
35,-60
3,-91
-10,-35
-69,-75
-91,-65
22,61
-39,52
32,-57
-8,46
29,-16
-44,-47
61,-85
23,69
43,-15
90,-74
-33,91
68,21
-17,17
-69,66
74,58
-32,-65
10,-81
-75,-44
91,-61
24,-31
48,20
-37,34
-59,-97
-55,65
-73,-49
-41,92
40,77
64,79
7,-84
-58,-7
-40,15
-66,89
67,-4
68,92
-66,38
-30,-20
-93,41
70,-55
3,59
-70,4
-87,79
-31,82
68,45
20,-25
5,-94
-11,62
35,-55
46,87
-98,99
-69,19
-38,45
-72,96
75,98
-4,24
66,100
-84,20
-68,-20
69,72
59,-74
35,31
-73,-11
13,40
89,-100
32,-14
-86,-43
-31,68
-86,47
-20,67
-50,45
-42,17
-34,-73
-27,-60
-98,-42
-14,-54
9,59
50,-8
24,70
-56,-56
57,17
10,-1
22,-68
-85,50
48,-46
53,64
-2,-22
90,-18
43,-33
-96,-49
-69,-3
-29,-20
-70,2
16,14
-60,-43
-71,15
-52,27
-70,-57
67,-90
-56,94
22,-71
33,-94
-64,10
-33,-8
-90,57
-89,63
-52,-5
77,67
60,-39
-52,-27
49,-20
10,-2
-5,12
80,54
-7,8
-13,72
66,98
-45,93
80,24
89,75
-85,63
32,-46
-27,-61
-17,35
0,37
-92,-3
-15,91
90,3
9,-60
52,12
88,-74
-69,0
60,-63
-84,50
14,-91
87,95
-78,3
-88,-58
52,-96
39,-40
-6,-98
-24,-63
30,54
-61,-64
19,-61
-84,-73
