x,y
65,-4
-10,-41
-77,-33
75,61
92,19
-43,-51
99,-92
80,-14
71,-95
35,-85
58,88
-99,51
82,25
25,51
75,4
39,-93
-70,28
-52,19
-8,-5
-3,-55
28,19
76,32
-60,95
-53,-19
82,-92
61,-43
-39,-69
42,65
74,-60
-26,49
-90,22
78,-94
-65,-67
13,23
-99,-50
-99,66
87,-69
2,-46
22,-85
47,70
11,95
9,75
-85,-62
91,27
81,97
42,-29
33,-70
77,-67
-92,-44
-91,-72
-3,40
-8,73
14,-98
-61,92
-49,26
79,-80
93,-26
3,22
-21,93
-56,-67
86,17
-85,33
47,22
-43,-95
-5,28
81,-5
-14,-87
87,-6
-90,98
83,29
15,-53
45,82
90,-25
-97,61
56,19
12,-36
-46,100
61,-79
39,-58
-46,39
-38,23
6,28
43,11
-77,-42
-3,100
27,-51
85,30
-53,15
13,37
-97,49
-16,-32
-71,-45
-45,89
-79,-88
-90,11
-57,97
5,40
-85,-70
-56,31
61,-57
