x,y
-23,14
23,23
-27,4
-72,77
-65,-100
89,71
-21,-57
36,27
29,91
-82,-60
-77,29
-76,1
-37,32
33,19
21,89
-1,-22
18,6
-59,-9
44,10
-77,90
61,-55
-47,33
-55,90
17,-89
45,18
9,61
5,-95
43,57
-38,72
93,-33
30,-98
-98,90
21,-66
91,-57
67,95
-26,19
-64,74
-26,-39
-21,42
-19,-54
-69,48
-34,58
10,43
-77,74
87,13
-4,94
-2,22
16,-85
-56,5
-66,-56
-57,-17
-94,21
-39,26
-15,-88
1,15
-25,-93
-1,-18
-88,18
27,74
57,-61
19,32
-24,28
-42,24
-95,40
-19,-40
37,36
-2,66
-82,-32
-63,-64
-40,55
58,72
-78,18
-22,71
21,-52
-85,-91
-23,77
-47,-94
-38,-53
99,-63
85,50
-53,12
-86,28
-53,-69
-63,-75
-16,-17
34,-63
-26,-88
32,-25
93,-75
98,36
